code_region,region,rang_vaccinal,date_debut_semaine,nb
01,GDP,2,2021-03-15,635
01,GDP,1,2021-03-22,1142
01,GDP,2,2021-03-22,1232
01,GDP,1,2021-03-29,483
01,GDP,2,2021-03-29,1093
01,GDP,1,2021-04-05,489
01,GDP,2,2021-04-05,1258
01,GDP,1,2021-04-12,247
01,GDP,2,2021-04-12,1975
01,GDP,1,2021-04-19,79
01,GDP,2,2021-04-19,1101
44,GES,1,2021-01-18,34853
44,GES,2,2021-01-18,86
44,GES,1,2021-01-25,25082
44,GES,2,2021-01-25,3865
44,GES,1,2021-02-01,21383
44,GES,2,2021-02-01,14496
44,GES,1,2021-02-08,23961
44,GES,2,2021-02-08,14294
44,GES,1,2021-02-15,18769
44,GES,2,2021-02-15,28928
44,GES,1,2021-02-22,24391
44,GES,2,2021-02-22,25426
44,GES,1,2021-03-01,50721
44,GES,2,2021-03-01,22106
44,GES,1,2021-03-08,58585
44,GES,2,2021-03-08,20641
44,GES,1,2021-03-15,68419
44,GES,2,2021-03-15,14301
44,GES,1,2021-03-22,58348
44,GES,2,2021-03-22,22234
44,GES,1,2021-03-29,23100
44,GES,2,2021-03-29,40881
44,GES,1,2021-04-05,9975
44,GES,2,2021-04-05,50409
44,GES,1,2021-04-12,6517
44,GES,2,2021-04-12,68359
44,GES,1,2021-04-19,2968
44,GES,2,2021-04-19,59861
03,GUY,1,2021-01-18,413
03,GUY,2,2021-01-18,3
03,GUY,1,2021-01-25,392
03,GUY,2,2021-01-25,3
03,GUY,1,2021-02-01,404
03,GUY,2,2021-02-01,39
03,GUY,1,2021-02-08,387
03,GUY,2,2021-02-08,237
03,GUY,1,2021-02-15,418
03,GUY,2,2021-02-15,434
03,GUY,1,2021-02-22,998
03,GUY,2,2021-02-22,423
03,GUY,1,2021-03-01,1321
03,GUY,2,2021-03-01,396
03,GUY,1,2021-03-08,1382
03,GUY,2,2021-03-08,367
03,GUY,1,2021-03-15,1274
03,GUY,2,2021-03-15,565
03,GUY,1,2021-03-22,959
03,GUY,2,2021-03-22,1058
03,GUY,1,2021-03-29,610
03,GUY,2,2021-03-29,1378
03,GUY,1,2021-04-05,487
03,GUY,2,2021-04-05,1238
03,GUY,1,2021-04-12,543
03,GUY,2,2021-04-12,1001
03,GUY,1,2021-04-19,100
03,GUY,2,2021-04-19,521
32,HDF,1,2021-01-18,37414
32,HDF,2,2021-01-18,112
32,HDF,1,2021-01-25,17190
32,HDF,2,2021-01-25,3499
32,HDF,1,2021-02-01,2734
32,HDF,2,2021-02-01,12217
32,HDF,1,2021-02-08,12555
32,HDF,2,2021-02-08,17702
32,HDF,1,2021-02-15,20041
32,HDF,2,2021-02-15,34027
32,HDF,1,2021-02-22,26797
32,HDF,2,2021-02-22,15939
32,HDF,1,2021-03-01,72374
32,HDF,2,2021-03-01,3236
32,HDF,1,2021-03-08,80907
32,HDF,2,2021-03-08,11758
32,HDF,1,2021-03-15,87917
32,HDF,2,2021-03-15,15103
32,HDF,1,2021-03-22,42351
32,HDF,2,2021-03-22,24494
32,HDF,1,2021-03-29,11772
32,HDF,2,2021-03-29,58932
32,HDF,1,2021-04-05,5189
32,HDF,2,2021-04-05,74804
32,HDF,1,2021-04-12,4814
32,HDF,2,2021-04-12,85330
32,HDF,1,2021-04-19,3131
32,HDF,2,2021-04-19,42435
11,IDF,1,2021-01-18,48691
11,IDF,2,2021-01-18,185
11,IDF,1,2021-01-25,44179
11,IDF,2,2021-01-25,2615
11,IDF,1,2021-02-01,40921
11,IDF,2,2021-02-01,12552
11,IDF,1,2021-02-08,35045
11,IDF,2,2021-02-08,19164
11,IDF,1,2021-02-15,15899
11,IDF,2,2021-02-15,47345
11,IDF,1,2021-02-22,18003
11,IDF,2,2021-02-22,44261
11,IDF,1,2021-03-01,107743
11,IDF,2,2021-03-01,41008
11,IDF,1,2021-03-08,94434
11,IDF,2,2021-03-08,30707
11,IDF,1,2021-03-15,121979
11,IDF,2,2021-03-15,12008
11,IDF,1,2021-03-22,99526
11,IDF,2,2021-03-22,16081
11,IDF,1,2021-03-29,13354
11,IDF,2,2021-03-29,88140
11,IDF,1,2021-04-05,4558
11,IDF,2,2021-04-05,85235
11,IDF,1,2021-04-12,3526
11,IDF,2,2021-04-12,122841
11,IDF,1,2021-04-19,1625
11,IDF,2,2021-04-19,81519
02,MAR,1,2021-01-18,672
02,MAR,2,2021-01-18,5
02,MAR,1,2021-01-25,738
02,MAR,2,2021-01-25,79
02,MAR,1,2021-02-01,571
02,MAR,2,2021-02-01,310
02,MAR,1,2021-02-08,642
02,MAR,2,2021-02-08,427
02,MAR,1,2021-02-15,189
02,MAR,2,2021-02-15,373
02,MAR,1,2021-02-22,396
02,MAR,2,2021-02-22,826
02,MAR,1,2021-03-01,676
02,MAR,2,2021-03-01,614
02,MAR,1,2021-03-08,890
02,MAR,2,2021-03-08,460
02,MAR,1,2021-03-15,1252
02,MAR,2,2021-03-15,239
02,MAR,1,2021-03-22,1045
02,MAR,2,2021-03-22,475
02,MAR,1,2021-03-29,471
02,MAR,2,2021-03-29,602
02,MAR,1,2021-04-05,197
02,MAR,2,2021-04-05,890
02,MAR,1,2021-04-12,167
02,MAR,2,2021-04-12,1135
02,MAR,1,2021-04-19,198
02,MAR,2,2021-04-19,575
75,NAQ,1,2021-01-18,39094
75,NAQ,2,2021-01-18,74
75,NAQ,1,2021-01-25,39947
75,NAQ,2,2021-01-25,3517
75,NAQ,1,2021-02-01,29317
75,NAQ,2,2021-02-01,11173
75,NAQ,1,2021-02-08,26501
75,NAQ,2,2021-02-08,16333
75,NAQ,1,2021-02-15,15049
75,NAQ,2,2021-02-15,34585
75,NAQ,1,2021-02-22,17747
75,NAQ,2,2021-02-22,36474
